Collection Title,Institution,Library,Type of Library,Lanuages,General Format,Specific Formats,Academic Field,Subjects,Keywords,URL,Start Year,End Year,Year Range,Description,Address,Latitude,Longitude
Jeannette Shambaugh Elliott Collection of Calligraphy,Arizona State University,"ASU libraries, the Phoenix Art Museum, and ASU Institute for Humanities Research",Academic,Chinese,Image,Print,Art,Caligraphy,Dong Qichang,https://repository.asu.edu/collections/191,1865,1946,1865 - 1946,"Selected images from the Jeannette Shambaugh Elliott collection of Chinese calligraphy together with research by art history graduate students.  Shambaugh Elliott studied Chinese art throughout her life and collected Chinese paintings and calligraphies from the 1960s until the 1990s. Portions of her collection reside at the Princeton University Art Museum, the Smart Museum of Art at the University of Chicago, and the Phoenix Art Museum. ","East Vista del Cerro Drive, Tempe Junction, Tempe, Maricopa County, Arizona, 85280, United States of America",33.4101077,-111.9214308
Cuban Slavery documents,Brown University,Rockefeller Library's East Asian Collection,Academic,Spanish,Text,"Letter, Certificate, Inventory",Overseas Chinese,Chinese-Cubans,Contract Laborers,https://repository.library.brown.edu/studio/collections/id_754/,1800,1899,1800-1899,"Documents including letters, certificates, and inventories relating to the institution of slavery, slaves, and indentured servants in Cuba dating from 1820-1892. Many of the documents refer to Chinese people brought to Cuba as indentured servants or contract laborers (colonos).","South Main Street, Fox Point, Providence, Providence County, Rhode Island, 02903, United States of America",41.8217896,-71.4045335
Historical Maps and Coins of China,Brown University,Rockefeller Library's East Asian Collection,Academic,"Chinese, English",Image,"Scroll, Map, Poster",History,Geography,"Qing dynasty, Ming Dynasty",https://repository.library.brown.edu/studio/collections/id_997/,1644,1912,1644-1912,"This is a collection of distinctive and unusual historical scrolls, maps, and posters.A set of undated historical maps produced in Taiwan, most likely created during the 1950s and 1960s. Through 27 illustrative maps, the set highlights some of the major historical moments and events from the Ming dynasty to the retreat to Taiwan in 1949 of the government of the Republic of China under the leadership of Chiang Kai-shek. The maps in the set are of varying dimensions. They appear to have been designed as hanging scrolls. The set may be one of only two held in the United States, with the other listed in Princeton University’s collection.","South Main Street, Fox Point, Providence, Providence County, Rhode Island, 02903, United States of America",41.8217896,-71.4045335
Barney Rosset and China,Columbia University,Rare Book & Manuscript Library,Academic,English,Image,Photograph,History,"War, Political History","Battle of Henan-Hunan-Guangxi, Barney Rossett, ",https://dlc.library.columbia.edu/sites/rosset_china,1944,1945,1944-1945,"The photographs in this exhibit were taken from 1944-1945 by Barney Rosset, then a young American Army photographer. Rosset documented the Chinese Army in their pursuit of Japanese troops following the Battle of Henan-Hunan-Guangxi. The Japanese Army was pulling back from the Ichi-Go operation, the largest Japanese land campaign of the war, and Rosset joined Chinese troops at the deepest point of Japanese penetration (Kweiyang).","West 120th Street, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States of America",40.8072721,-73.9638133
Chinese Law Registers,Columbia University,Columbia University Library,Academic,Chinese,Image,Rare Book,History,Law,Law Registry ,https://archive.org/details/culchineselaw,1646,1796,1646-1796,"This collection includes volumes from  [Shuo tie], [Da Qing l] and [Xin zeng Cheng an suo jian ji].","West 120th Street, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States of America",40.8072721,-73.9638133
Chinese Paper Gods,Columbia University,C. V. Starr East Asian Library,Academic,,Image,,Religion,Missionary,"Folk Practice, Religious Practice",http://www.columbia.edu/cu/lweb/digital/collections/eastasian/paper_gods/,220,1911,220-1911,An online visual catalog of over 200 woodcuts used in folk religious practices in Beijing and other parts of China in the 1930s.,"West 120th Street, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States of America",40.8072721,-73.9638133
Ling Long Women's Magazine,Columbia University,C. V. Starr East Asian Library,Academic,,Text,Magazine,Women Studies,"Literature, Gender","Women, Gender, Ling Long",https://exhibitions.cul.columbia.edu/exhibits/show/linglong,1931,1937,1931-1937,"A digital version of Ling Long Women's Magazine, originally published in Shanghai from 1931 to 1937 and of significant scholarly research value in several disciplines.","West 120th Street, Morningside Heights, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States of America",40.8072721,-73.9638133
Cornell East Asia Book Series,Cornell University,Kroch Library,Academic,English,Text,Book ,History,Political History,Economic Analysis,https://ecommons.cornell.edu/handle/1813/57635,1930,2021,1930-2021,"These titles were originally published in the Cornell East Asia Series, many back when we were called the China-Japan Program and the series title was the East Asia Papers. Though of lasting literary and historical value, many of these titles have been long out of print and unavailable. The titles were selected by the CEAS faculty editorial board, and were digitized with the permission of the individual authors.","616, Thurston Avenue, Ithaca, Ithaca Town, New York, 14850, United States of America",42.45292085,-76.48096767
Cornell: Kroch East Asia Rare Materials Archive,Cornell University,Kroch Library,Academic,Chinese,Image,"Photograph, Lithograph, Book, Stereograph, Diary, Print",History,Art,Daily Life,https://library.artstor.org/#/collection/87729475,1800,1999,1800-1999,"Asia Rare Materials Archive (KARMA) includes 19th and 20th century photographs, color lithographs, illustrated books, stereographs, woodblock prints and diaries from the Cornell University Library's Division of Asia Collections.","616, Thurston Avenue, Ithaca, Ithaca Town, New York, 14850, United States of America",42.45292085,-76.48096767
Shi Shi Hua Bao (Pictorial for the Current Situation) 1905-1913,Cornell University,Kroch Library,Academic,Chinese,Image,Periodical,"Politics, Literature","Graphic Novel, Political History","Shi Shi Hua Bao, Pictorial for the Current Situation",https://library.artstor.org/#/search/artcreator:(Guangdong%20:%20Shi%20Shi%20Hua%20Bao),1905,1913,1905-1913,Facsimile of a journal published in China.,"616, Thurston Avenue, Ithaca, Ithaca Town, New York, 14850, United States of America",42.45292085,-76.48096767
